model,scope,risk_seed,source_groups,clips,metric,estimate,ci95_low,ci95_high,bootstrap_seed
ridge,source_disjoint_test,1,15,190,error_reduction,0.12517880459817887,0.07233450120327417,0.18036080486124093,202659031
ridge,source_disjoint_test,1,15,190,revision_path_reduction,0.08245614035087717,0.03347842261904761,0.14389903129657225,202659031
ridge,source_disjoint_test,1,15,190,revision_opportunity_reduction,0.05598532157119451,0.0344108216514806,0.08519840655718944,202659031
ridge,source_disjoint_test,1,15,190,coverage_gap,0.018421052631578894,0.0012919896640827238,0.04246946839080465,202659031
ridge,source_disjoint_test,12,15,190,error_reduction,0.12486351965102266,0.07318384626411542,0.17844205273396788,202659042
ridge,source_disjoint_test,12,15,190,revision_path_reduction,0.09210526315789475,0.047243547681539835,0.15504044002330059,202659042
ridge,source_disjoint_test,12,15,190,revision_opportunity_reduction,0.06335007606819765,0.043799719688314157,0.09226737777850251,202659042
ridge,source_disjoint_test,12,15,190,coverage_gap,0.012280701754385892,0.0007609485263595146,0.03992215568862278,202659042
ridge,source_disjoint_test,123,15,190,error_reduction,0.12237894576753172,0.06882841711699705,0.1757923760658043,202659153
ridge,source_disjoint_test,123,15,190,revision_path_reduction,0.08245614035087717,0.03375495068727191,0.14858538975121602,202659153
ridge,source_disjoint_test,123,15,190,revision_opportunity_reduction,0.05714072550040819,0.036809719449490484,0.08716351037234098,202659153
ridge,source_disjoint_test,123,15,190,coverage_gap,0.010526315789473606,0.000706214689265569,0.03685989185750633,202659153
ridge,source_disjoint_test,1234,15,190,error_reduction,0.12735233788313682,0.07573162535412044,0.17961649355207415,202660264
ridge,source_disjoint_test,1234,15,190,revision_path_reduction,0.09210526315789475,0.04761904761904767,0.15750943670150985,202660264
ridge,source_disjoint_test,1234,15,190,revision_opportunity_reduction,0.06304678519558649,0.0435614458607838,0.09308025806434181,202660264
ridge,source_disjoint_test,1234,15,190,coverage_gap,0.013157894736842035,0.0007751040769451435,0.04091816367265466,202660264
ridge,source_disjoint_test,12345,15,190,error_reduction,0.12103181576726824,0.06963199781715332,0.17468374164260825,202671375
ridge,source_disjoint_test,12345,15,190,revision_path_reduction,0.07894736842105265,0.03356381704980844,0.1472609376659233,202671375
ridge,source_disjoint_test,12345,15,190,revision_opportunity_reduction,0.05587068527784611,0.03708665809131097,0.08704106023569176,202671375
ridge,source_disjoint_test,12345,15,190,coverage_gap,0.00877192982456143,0.0006337135614701284,0.035865483616982614,202671375
masked_fusion,official_test,1,142,1034,error_reduction,0.055615464411701676,0.041858027354429894,0.06968894407887577,202709031
masked_fusion,official_test,1,142,1034,revision_path_reduction,0.08704061895551257,0.06723176559448654,0.10655744528695346,202709031
masked_fusion,official_test,1,142,1034,revision_opportunity_reduction,0.05561155265651452,0.044720310801938674,0.06656868450779298,202709031
masked_fusion,official_test,1,142,1034,coverage_gap,0.01676337846550613,0.005643683542619671,0.027828279268643723,202709031
masked_fusion,official_test,12,142,1034,error_reduction,0.06059824296716659,0.04681135445064504,0.07473155341463712,202709042
masked_fusion,official_test,12,142,1034,revision_path_reduction,0.09719535783365571,0.0781437860482888,0.11623966284987275,202709042
masked_fusion,official_test,12,142,1034,revision_opportunity_reduction,0.05990450722208274,0.04908992753087773,0.07068568213212775,202709042
masked_fusion,official_test,12,142,1034,coverage_gap,0.011605415860735047,0.001404585235920836,0.022615975854816065,202709042
masked_fusion,official_test,123,142,1034,error_reduction,0.05870585246759824,0.044643849142081,0.07291379947813979,202709153
masked_fusion,official_test,123,142,1034,revision_path_reduction,0.09445519019987106,0.07475809955344612,0.11445385980506763,202709153
masked_fusion,official_test,123,142,1034,revision_opportunity_reduction,0.05690551489947851,0.04600782726141678,0.06820127011570816,202709153
masked_fusion,official_test,123,142,1034,coverage_gap,0.010960670535138606,0.0009707986122857476,0.022531131617670022,202709153
masked_fusion,official_test,1234,142,1034,error_reduction,0.056530801637325934,0.0426815281012775,0.07057194124508706,202710264
masked_fusion,official_test,1234,142,1034,revision_path_reduction,0.08849129593810445,0.06850795021131839,0.10792505475396146,202710264
masked_fusion,official_test,1234,142,1034,revision_opportunity_reduction,0.05553439550350173,0.044466931767977905,0.06643539366986624,202710264
masked_fusion,official_test,1234,142,1034,coverage_gap,0.017246937459703404,0.005599364090728154,0.028651342860403807,202710264
masked_fusion,official_test,12345,142,1034,error_reduction,0.06064501212733514,0.04686779340403484,0.07474225412353759,202721375
masked_fusion,official_test,12345,142,1034,revision_path_reduction,0.09300451321727918,0.07440692757162473,0.11175040286520457,202721375
masked_fusion,official_test,12345,142,1034,revision_opportunity_reduction,0.057441023969911686,0.04675394092094875,0.06801858590319208,202721375
masked_fusion,official_test,12345,142,1034,coverage_gap,0.015312701482914193,0.004433414757856075,0.02602235629273752,202721375
masked_fusion,source_disjoint_test,1,15,190,error_reduction,0.07748341771655087,0.043534782438961965,0.11331993344087657,202759031
masked_fusion,source_disjoint_test,1,15,190,revision_path_reduction,0.10701754385964912,0.04991539763113367,0.158288884956647,202759031
masked_fusion,source_disjoint_test,1,15,190,revision_opportunity_reduction,0.08004435024922485,0.04976924869269316,0.10764204769336969,202759031
masked_fusion,source_disjoint_test,1,15,190,coverage_gap,0.04561403508771922,0.009802617855652973,0.07523809523809522,202759031
masked_fusion,source_disjoint_test,12,15,190,error_reduction,0.0823139469678763,0.04662416236121026,0.12234313883095867,202759042
masked_fusion,source_disjoint_test,12,15,190,revision_path_reduction,0.12105263157894736,0.0625,0.1714759990253411,202759042
masked_fusion,source_disjoint_test,12,15,190,revision_opportunity_reduction,0.0852579508131058,0.05410214720583438,0.11367653032506374,202759042
masked_fusion,source_disjoint_test,12,15,190,coverage_gap,0.03508771929824561,0.00268763440860215,0.0673291970477401,202759042
