scope,condition,seed,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
source_disjoint_test,B1,1,1140,0,0,,0.0,0.0,0,,0.0,0.0,3.0,1.0,0,0.0,0,,0,0.0,0,
source_disjoint_test,B2,1,1140,1839,1001,0.5443175638934203,0.8065789473684211,0.4543859649122807,1839,0.2816748232735182,0.17280701754385966,0.9201754385964912,1.3868421052631579,1.0,790,0.6929824561403509,440,0.5569620253164557,1049,0.9201754385964912,561,0.5347950428979981
source_disjoint_test,B3,1,1140,692,314,0.45375722543352603,0.30350877192982456,0.15087719298245614,692,0.24855491329479767,0.05175438596491228,0.6070175438596491,2.3929824561403508,1.0,0,0.0,0,,692,0.6070175438596491,314,0.45375722543352603
source_disjoint_test,B4,1,1140,1839,1015,0.5519303969548668,0.8065789473684211,0.4114035087719298,1839,0.25502990755845567,0.1692982456140351,0.9201754385964912,1.3868421052631579,1.0,790,0.6929824561403509,440,0.5569620253164557,1049,0.9201754385964912,575,0.5481410867492851
source_disjoint_test,H0,1,1140,1884,804,0.4267515923566879,0.8263157894736842,0.32894736842105265,1884,0.19904458598726116,0.08859649122807017,0.9017543859649123,1.3473684210526315,1.0,856,0.7508771929824561,376,0.4392523364485981,1028,0.9017543859649123,428,0.4163424124513619
source_disjoint_test,H0,12,1140,1899,811,0.42706687730384413,0.8328947368421052,0.3192982456140351,1899,0.19167983149025802,0.08859649122807017,0.9078947368421053,1.3342105263157895,1.0,864,0.7578947368421053,380,0.4398148148148148,1035,0.9078947368421053,431,0.41642512077294686
source_disjoint_test,H0,123,1140,1895,814,0.42955145118733506,0.831140350877193,0.32894736842105265,1895,0.19788918205804748,0.08859649122807017,0.9096491228070176,1.337719298245614,1.0,858,0.7526315789473684,378,0.4405594405594406,1037,0.9096491228070176,436,0.420443587270974
source_disjoint_test,H0,1234,1140,1896,805,0.42457805907172996,0.8315789473684211,0.3192982456140351,1896,0.19198312236286919,0.0868421052631579,0.9070175438596492,1.3368421052631578,1.0,862,0.756140350877193,378,0.4385150812064965,1034,0.9070175438596492,427,0.41295938104448743
source_disjoint_test,H0,12345,1140,1903,820,0.43089858118759855,0.8346491228070175,0.33245614035087717,1903,0.19915922228060956,0.09035087719298246,0.9114035087719298,1.330701754385965,1.0,864,0.7578947368421053,380,0.4398148148148148,1039,0.9114035087719298,440,0.42348411934552455
source_disjoint_test,O1,1,1140,1228,0,0.0,0.5385964912280702,0.20087719298245615,1228,0.18648208469055375,0.0,0.6140350877192983,1.9228070175438596,1.0,528,0.4631578947368421,0,0.0,700,0.6140350877192983,0,0.0
