scope,condition,seed,threshold,margin,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,H0,1234,0.62,0.2,6204,7769,2269,0.29205817994593897,0.6261283043197937,0.172147001934236,7769,0.13746942978504312,0.06173436492585429,0.7429078014184397,1.7477433913604126,1.0,3160,0.5093488072211476,934,0.2955696202531646,4609,0.7429078014184397,1335,0.2896506834454328
official_test,H0,1234,0.63,0.2,6204,7446,2127,0.28565672844480255,0.6000967117988395,0.16215344938749193,7446,0.1351060972334139,0.05560928433268859,0.7159896840747905,1.799806576402321,1.0,3004,0.4842037395228885,872,0.29027962716378164,4442,0.7159896840747905,1255,0.2825303917154435
official_test,H0,1234,0.64,0.2,6204,7045,1967,0.27920511000709725,0.5677788523533205,0.14925854287556414,7045,0.13144073811213627,0.05125725338491296,0.6848807221147647,1.864442295293359,1.0,2796,0.4506769825918762,792,0.2832618025751073,4249,0.6848807221147647,1175,0.2765356554483408
official_test,H0,1234,0.65,0.2,6204,6652,1831,0.2752555622369212,0.5361057382333978,0.13765312701482915,6652,0.12838244137101623,0.04803352675693101,0.6550612508059317,1.9277885235332044,1.0,2588,0.41715022566086396,730,0.2820710973724884,4064,0.6550612508059317,1101,0.2709153543307087
official_test,H0,1234,0.66,0.2,6204,6218,1686,0.27114827918945,0.5011283043197937,0.12395228884590587,6218,0.12367320681891283,0.0427143778207608,0.6173436492585429,1.9977433913604126,1.0,2388,0.3849129593810445,664,0.2780569514237856,3830,0.6173436492585429,1022,0.2668407310704961
official_test,H0,1234,0.67,0.2,6204,5762,1480,0.2568552585907671,0.4643778207607995,0.1100902643455835,5762,0.11853523082263102,0.0362669245647969,0.5802707930367504,2.071244358478401,1.0,2162,0.3484848484848485,566,0.26179463459759483,3600,0.5802707930367504,914,0.2538888888888889
official_test,H0,1234,0.68,0.2,6204,5291,1305,0.24664524664524665,0.42641843971631205,0.0978401031592521,5291,0.11472311472311472,0.03239845261121857,0.5411025145067698,2.147163120567376,1.0,1934,0.31173436492585427,486,0.2512926577042399,3357,0.5411025145067698,819,0.24396782841823056
official_test,H0,1234,0.69,0.2,6204,4847,1130,0.23313389725603467,0.39063507414571247,0.08575112830431979,4847,0.10975861357540746,0.026595744680851064,0.504996776273372,2.218729851708575,1.0,1714,0.27627337201805285,400,0.23337222870478413,3133,0.504996776273372,730,0.23300351101180977
official_test,H0,1234,0.7,0.2,6204,4416,1007,0.22803442028985507,0.35589941972920697,0.07382333978078659,4416,0.10371376811594203,0.022888459058671824,0.46744036105738235,2.288201160541586,1.0,1516,0.2443584784010316,342,0.22559366754617413,2900,0.46744036105738235,665,0.2293103448275862
official_test,H0,1234,0.71,0.2,6204,3988,856,0.21464393179538616,0.3214055448098001,0.06286266924564797,3988,0.09779338014042126,0.01756931012250161,0.4277885235332044,2.3571889103804,1.0,1334,0.21502256608639586,284,0.2128935532233883,2654,0.4277885235332044,572,0.2155237377543331
